name,rank,count
ROMAN,444,72391
STEVENSON,445,72286
MCLAUGHLIN,446,71961
DOYLE,447,71863
MANNING,448,71809
GARNER,449,71498
BLAKE,450,71425
WALTON,451,71361
NEWTON,452,71351
MCGEE,453,71307
REESE,454,71141
GROSS,455,70852
BURGESS,456,70718
MONTOYA,457,70671
FRANCO,458,70637
HARMON,459,70550
FISCHER,460,70511
TRUJILLO,461,70403
ADKINS,462,70363
PERSON,463,70174
WEBSTER,464,70161
BRADY,465,70047
CLARKE,466,70011
WOLF,467,69917
MACK,468,69776
GOODMAN,469,69577
COLON,470,68998
POTTER,471,68997
GOODWIN,472,68963
SUAREZ,473,68838
CASTANEDA,474,68636
HINES,475,68581
ESCOBAR,476,68460
GUERRA,477,68407
TODD,478,68395
TATE,479,68390
CANNON,480,68041
HUBBARD,481,68031
MULLINS,482,67835
ROWE,483,67831
CAMACHO,484,67599
VALENCIA,485,67405
HODGES,486,67360
SAUNDERS,487,67352
GALLAGHER,488,67066
MALONE,489,66928
FARMER,490,66667
HAMPTON,491,66633
TOWNSEND,492,66493
SHERMAN,493,66346
HAMMOND,494,66318
YU,495,66156
INGRAM,496,66120
MAXWELL,497,65829
GALLEGOS,498,65598
WISE,499,65596
OROZCO,500,65402
VELAZQUEZ,501,65353
SCHROEDER,502,65286
HUYNH,503,65148
WATERS,504,65036
ANDRADE,505,64946
BARTON,506,64761
LOGAN,507,64755
YODER,508,64632
PARSONS,509,64627
SANTANA,510,64579
BUCHANAN,511,64348
GLOVER,512,64341
OSBORNE,513,64098
NORMAN,514,63944
HARRINGTON,515,63775
FRANK,516,63608
STRICKLAND,517,63585
PINEDA,518,63437
CASEY,519,63424
FLOYD,520,63374
IBARRA,521,63358
SALAS,522,63317
GIBBS,523,63006
PATTON,524,62929
BOWERS,525,62913
CHARLES,526,62686
BAUER,527,62667
TYLER,528,62380
COBB,529,62205
MUELLER,530,62147
LLOYD,531,62010
VILLANUEVA,532,61969
MERCADO,533,61773
MCGUIRE,534,61752
MCBRIDE,535,61751
MOODY,536,61480
FLYNN,537,61341
VILLARREAL,538,61336
FRENCH,539,61329
ZAMORA,540,61244
POPE,541,61177
HARTMAN,542,61086
MCCORMICK,543,61083
SPARKS,544,61073
CONNER,545,61028
HOGAN,546,61016
KRAMER,547,60950
LINDSEY,548,60657
MACIAS,549,60590
YATES,550,60581
LANG,551,59955
SHEPHERD,552,59896
MARSH,553,59877
BAUTISTA,554,59869
LAM,555,59770
NORTON,556,59666
BARRERA,557,59196
PRATT,558,59174
STOKES,559,59097
DRAKE,560,59055
OWEN,561,58962
ARIAS,562,58926
PETERSEN,563,58885
CAIN,564,58521
MELENDEZ,565,58520
BROCK,566,58368
TREVINO,566,58368
BURNETT,568,58194
MCKENZIE,569,58046
MORTON,570,58028
OLSEN,571,57626
LAMB,572,57573
HESS,573,57557
BALLARD,574,57424
PATRICK,575,57411
LOZANO,576,57179
SHAFFER,577,57111
MORA,578,57092
NASH,579,57028
HOOVER,580,57000
COCHRAN,581,56354
VANG,582,56261
ROTH,583,56238
FLOWERS,584,56061
HOLLOWAY,585,56001
WILKINS,586,55955
ZUNIGA,587,55865
WEISS,588,55845
RANGEL,589,55758
BRIGGS,590,55710
HO,591,55533
NICHOLSON,592,55506
LARSEN,593,55235
HOUSTON,594,55138
MEYERS,595,55110
GREER,596,55088
DECKER,597,55000
BRYAN,598,54685
ROBERSON,599,54638
SUMMERS,600,54528
BASS,601,54502
BONILLA,602,54461
SHORT,603,54312
COLLIER,604,54282
VALENZUELA,605,54200
ROY,606,54089
UNDERWOOD,607,54083
CARSON,608,54032
MORROW,609,54003
WHITAKER,610,53950
CLAYTON,611,53875
ROCHA,612,53864
WILCOX,613,53767
CAREY,614,53736
JEFFERSON,615,53646
DAVENPORT,616,53635
VELEZ,617,53491
MONROE,618,53483
COPELAND,619,53472
HUFF,620,53338
SOSA,621,53289
CONLEY,622,53274
POOLE,623,53246
CHOI,624,52885
CAMERON,625,52870
MASSEY,626,52666
ROSARIO,627,52418
HOOD,628,52395
ACEVEDO,629,52393
PITTMAN,630,52342
BENITEZ,631,52211
SINGLETON,632,52173
ANTHONY,633,52156
MEZA,634,52047
WALL,635,52042
BRADFORD,636,51912
SKINNER,637,51876
COMBS,638,51814
RANDALL,639,51764
GALVAN,640,51675
KIRBY,641,51620
ATKINSON,642,51453
BRIDGES,643,51385
BOONE,644,51373
MATHIS,645,51361
WILKINSON,646,51341
VINCENT,647,51329
GATES,648,51298
KIRK,649,51067
RICHARD,650,51000
CHRISTIAN,651,50934
BRUCE,652,50879
VILLA,653,50813
ZAVALA,654,50789
HODGE,655,50700
YORK,656,50675
BOND,657,50649
FARRELL,658,50453
TAPIA,659,50410
SWEENEY,660,50370
ABBOTT,661,50148
WYATT,662,50142
RUBIO,663,50103
PHELPS,664,50090
ALLISON,665,49879
ARROYO,666,49828
FOLEY,667,49766
CORTES,668,49681
CHASE,669,49533
DICKERSON,670,49519
MATHEWS,671,49484
HEATH,672,49412
ONEILL,673,49365
ATKINS,674,49353
CISNEROS,675,49338
SHIELDS,676,49337
BELTRAN,677,49320
HORN,678,49305
BARRON,679,49096
DALTON,680,48924
SAVAGE,681,48874
CALLAHAN,682,48861
PONCE,683,48830
KANE,684,48826
HARRELL,685,48672
GLENN,686,48549
GUEVARA,687,48503
WIGGINS,688,48358
GARRISON,689,48292
BOYER,690,48281
CANTU,691,48115
HUFFMAN,692,48093
PHAN,693,48064
HANCOCK,694,47984
WARE,695,47874
RICH,696,47823
BRENNAN,697,47806
DILLON,698,47767
CLINE,699,47748
ARELLANO,700,47631
HENSLEY,701,47615
GOLDEN,702,47533
KOCH,703,47453
MCDOWELL,704,47414
MONTES,705,47397
PARRISH,706,47354
MARKS,707,47331
BARRY,708,47279
GRIMES,709,47264
CLAY,710,47234
VILLEGAS,711,47223
BAXTER,712,47095
PITTS,713,47055
BOOTH,714,47016
MATA,715,47012
WILEY,716,46986
LU,717,46937
SAWYER,718,46929
MELTON,719,46858
BERG,720,46800
GILMORE,721,46765
HUMPHREY,722,46668
STEPHENSON,723,46615
PRINCE,724,46551
SOLOMON,725,46541
DEJESUS,726,46493
SHARMA,727,46467
TANNER,728,46437
SNOW,729,46310
HOBBS,730,46281
DYER,731,46255
DAVID,732,45954
ONEAL,733,45929
MCCLAIN,734,45911
JOHNS,735,45892
MOON,736,45833
HUTCHINSON,737,45820
BEARD,738,45797
WALTER,739,45791
RUSSO,740,45790
HENSON,741,45780
MCCLURE,742,45586
MURILLO,743,45567
MOSLEY,744,45562
WILKERSON,745,45488
BEASLEY,746,45439
HUERTA,747,45314
TRUONG,748,45309
KEITH,749,45259
XIONG,750,45183
VO,751,45170
MACDONALD,752,45126
PRESTON,753,45056
VANCE,754,44920
DAVILA,755,44850
EATON,756,44833
ENGLISH,757,44777
HURST,758,44738
BLACKWELL,759,44711
PALACIOS,760,44626
SMALL,761,44613
KEMP,762,44426
XU,763,44406
STAFFORD,764,44382
CORDOVA,765,44178
CHUNG,766,44132
SHANNON,767,44030
MARIN,768,43997
MCCULLOUGH,769,43929
NOLAN,770,43879
SALGADO,771,43867
MERRITT,772,43857
VU,773,43790
STRONG,774,43757
WOODARD,775,43731
WINTERS,776,43495
BARAJAS,777,43327
KLINE,778,43180
CUEVAS,779,43163
KERR,780,43118
ZHENG,781,43117
KNOX,782,43026
DUARTE,783,42935
ODONNELL,784,42865
BARR,785,42818
ROSAS,786,42815
JACOBSON,787,42784
MEADOWS,788,42694
LESTER,789,42692
BULLOCK,790,42676
GAINES,791,42617
MCINTYRE,792,42592
CONWAY,793,42563
TANG,794,42548
ORR,795,42533
NIELSEN,796,42520
LEACH,797,42194
ROACH,798,42179
KENT,799,42163
WHITEHEAD,800,42089
PRUITT,801,42087
MCKEE,802,42029
BRAVO,803,41827
DORSEY,804,41699
HULL,805,41685
BERGER,806,41655
BARTLETT,807,41652
SLOAN,808,41599
MCLEAN,809,41538
ESPARZA,810,41465
MCCALL,811,41386
STEIN,812,41382
LEBLANC,813,41367
BROWNING,814,41347
CALHOUN,814,41347
HENDRICKS,816,41308
DURHAM,817,41287
HANNA,818,41220
VENTURA,819,41204
STOUT,820,41195
GENTRY,821,41191
BUCK,822,41103
MIDDLETON,822,41103
BLANKENSHIP,824,41049
MCINTOSH,825,40973
QUINTERO,826,40966
MOHAMED,827,40957
BRADSHAW,828,40813
ELLISON,829,40780
FROST,830,40771
SEXTON,831,40756
LOWERY,832,40645
LIVINGSTON,833,40605
SELLERS,834,40541
PORTILLO,835,40506
GILLESPIE,836,40456
FELIX,837,40449
NOBLE,838,40384
LIM,839,40278
BUCKLEY,840,40231
HARDIN,841,40223
HOUSE,842,40157
GLASS,843,40133
ENRIQUEZ,844,40048
SPEARS,845,40009
HOWE,846,39912
BLANCO,847,39888
KNAPP,847,39888
MEDRANO,849,39831
TREJO,850,39769
CORONA,851,39695
STARK,852,39649
REILLY,853,39645
MORSE,854,39517
BENJAMIN,855,39477
TAN,856,39432
SCHAEFER,857,39427
MCFARLAND,858,39411
WEEKS,859,39404
BENTLEY,860,39380
GILES,861,39371
PENNINGTON,862,39335
FREDERICK,863,39331
HAHN,864,39328
CHENG,865,39305
RANDOLPH,866,39297
FITZPATRICK,867,39241
HERMAN,868,39217
WALLS,869,39209
HEBERT,870,39189
ZHOU,871,39160
VALENTINE,872,39158
LUGO,873,39144
CROSBY,874,39086
MAYS,875,39073
PIERRE,876,39005
ZHAO,877,38974
DONOVAN,878,38902
HICKMAN,879,38795
MCMILLAN,880,38777
NGO,881,38770
CONRAD,882,38744
BERNAL,883,38729
MAHONEY,884,38677
LUCERO,885,38613
PACE,886,38580
DELAROSA,887,38542
MOSES,888,38468
PERALTA,889,38418
COSTA,890,38406
HURLEY,891,38388
MA,892,38387
MCMAHON,893,38378
ESPINOSA,894,38375
RAYMOND,894,38375
CASE,896,38337
MCCONNELL,897,38270
FRIEDMAN,898,38252
HARDING,899,38220
BENDER,900,38205
NAVA,901,38135
CORREA,902,38056
DO,902,38056
PECK,904,38039
BOYLE,905,38028
VAUGHAN,906,37970
LANDRY,907,37904
BERNARD,908,37873
MICHAEL,909,37760
EVERETT,910,37752
MAYER,911,37738
RIVERS,912,37733
SAMPSON,913,37721
PUGH,914,37613
BLACKBURN,915,37556
DUFFY,915,37556
KUMAR,917,37459
RUSH,918,37453
JOHN,919,37363
CANO,920,37355
AVERY,921,37354
MAGANA,922,37335
VILLALOBOS,923,37166
AYERS,924,36980
GOULD,925,36956
MCKAY,926,36937
DUNLAP,927,36873
SHEPARD,928,36770
SUN,929,36735
DANG,930,36719
FRY,931,36696
LYNN,932,36656
CLEMENTS,933,36649
BEST,934,36602
CRANE,935,36578
ANDERSEN,936,36548
BLANCHARD,937,36521
LEVY,938,36499
QUINTANA,939,36441
BLEVINS,940,36439
ASHLEY,941,36420
POTTS,942,36403
ALFARO,943,36351
AVALOS,944,36305
FARLEY,945,36293
FINLEY,946,36189
NIEVES,947,36188
ESQUIVEL,948,36172
AMAYA,949,36144
DOUGHERTY,950,36142
PARRA,951,36137
HOANG,952,36123
HAN,953,36028
BENTON,954,35994
LEAL,955,35970
HERRING,956,35941
SIERRA,957,35938
NIXON,958,35853
HAYDEN,959,35844
JARAMILLO,960,35826
GALINDO,961,35808
HALEY,962,35805
MOYER,963,35709
CHO,964,35679
BOOKER,965,35648
ZHU,966,35639
DODSON,967,35618
KRUEGER,968,35568
FRYE,969,35502
RICHMOND,970,35493
MULLEN,971,35464
HUBER,972,35444
BEAN,973,35379
BUI,974,35375
HORNE,975,35295
RASMUSSEN,976,35292
SHEPPARD,977,35274
WOODWARD,978,35266
MCPHERSON,979,35248
BRANDT,980,35211
MCCARTY,981,35172
DONALDSON,982,35108
QUINONES,983,35066
SPENCE,984,35005
KANG,985,34834
OCONNELL,986,34829
MAYNARD,987,34753
SCHMITT,988,34747
ESTES,989,34729
SANFORD,990,34723
MADDOX,991,34687
COFFEY,992,34539
STUART,993,34534
BURCH,994,34518
CARDONA,995,34471
GOOD,996,34414
STANTON,997,34407
FAULKNER,998,34330
DUDLEY,999,34312
COMPTON,1000,34287
